term,abbv_or_alias,note
environmental product declaration,EPD,
"life cycle {assessment, analysis}",LCA,
life cycle inventory,LCI,
life cycle impact assessment,LCIA,
embodied,,
cradle-to-grave,,
"air {emission, pollutant, pollution}",,
"carbon {dioxide, emission, equivalent}",CO2,
"criteria air {emission, pollutant, pollution}",CAP,
greenhouse gas,GHG,
methane,CH4,
nitrous oxide,N2O,
ozone,O3,
particulate matter,PM,
smog,,
acidification,,
eutrophication,,
global warming potential,GWP,
indoor air quality,IAQ,
toxicity,,
